node_id,direccion_original,direccion_normalizada,RUT,Nombre cliente,Dirección cliente,Fecha de Pedido,Número de Orden,Monto Pedido,Fecha de despacho Solicitada,direccion_limpia_base,calle,numero,query_geocoding,encontrada,formatted,lat,lon,estado,calidad_match
5,Av. Américo Vespucio 1736,AV. AMÉRICO VESPUCIO 1736,9.604.671 - 2,Cliente Nuevo 9604671,"Av. Américo Vespucio 1736, Depto 765, Macul, Santiago",2026-12-08,ORD-CL-202612-000977,104837,2026-12-10,Av. Américo Vespucio 1736,Av. Américo Vespucio,1736,"Av. Américo Vespucio 1736, Santiago, Chile",True,"Avenida Américo Vespucio 1736, 832 0000 Santiago, Chile",-33.471405971428574,-70.57650094285714,ok,buena
6,Av. Américo Vespucio 2037,AV. AMÉRICO VESPUCIO 2037,11.212.451-0,Cliente 11212451,Av. Américo Vespucio 2037 Depto 1897 Las Condes Santiago de Chile,2026-12-03,ORD-CL-202612-000387,63448,2026-12-06,Av. Américo Vespucio 2037 Las Condes Santiago de,Av. Américo Vespucio,2037,"Av. Américo Vespucio 2037, Santiago, Chile",True,"Avenida Américo Vespucio 2037, 832 0000 Santiago, Chile",-33.47458170743243,-70.57790245202703,ok,buena
6,Av. Américo Vespucio 2037,AV. AMÉRICO VESPUCIO 2037,11212451 - 0,Cliente 11212451,Av. Américo Vespucio 2037 Depto 1897 Las Condes Santiago Chile,2026-12-08,ORD-CL-202612-000944,148523,2026-12-11,Av. Américo Vespucio 2037,Av. Américo Vespucio,2037,"Av. Américo Vespucio 2037, Santiago, Chile",True,"Avenida Américo Vespucio 2037, 832 0000 Santiago, Chile",-33.47458170743243,-70.57790245202703,ok,buena
6,Av. Américo Vespucio 2037,AV. AMÉRICO VESPUCIO 2037,11.212.451-0,Cliente 11212451,"AV. AMÉRICO VESPUCIO 2037, DEPTO 1897, LAS CONDES, SANTIAGO, CHILE",2026-12-10,ORD-CL-202612-001202,139644,2026-12-13,Av. AMÉRICO VESPUCIO 2037,Av. Américo Vespucio,2037,"Av. Américo Vespucio 2037, Santiago, Chile",True,"Avenida Américo Vespucio 2037, 832 0000 Santiago, Chile",-33.47458170743243,-70.57790245202703,ok,buena
6,Av. Américo Vespucio 2037,AV. AMÉRICO VESPUCIO 2037,11.212.451-0,Cliente 11212451,Av. Américo Vespucio 2037 Depto 1897 Las Condes Santiago Chile,2026-12-14,ORD-CL-202612-001733,116117,2026-12-19,Av. Américo Vespucio 2037,Av. Américo Vespucio,2037,"Av. Américo Vespucio 2037, Santiago, Chile",True,"Avenida Américo Vespucio 2037, 832 0000 Santiago, Chile",-33.47458170743243,-70.57790245202703,ok,buena
6,Av. Américo Vespucio 2037,AV. AMÉRICO VESPUCIO 2037,11.212.451 - 0,Cliente 11212451,Av. Américo Vespucio 2037 Depto 1897 Las Condes Santiago Chile,2026-12-28,ORD-CL-202612-003798,111218,2026-12-29,Av. Américo Vespucio 2037,Av. Américo Vespucio,2037,"Av. Américo Vespucio 2037, Santiago, Chile",True,"Avenida Américo Vespucio 2037, 832 0000 Santiago, Chile",-33.47458170743243,-70.57790245202703,ok,buena
7,Av. Américo Vespucio 2071,AV. AMÉRICO VESPUCIO 2071,5.216.582-9,Cliente Nuevo 5216582,"AV. AMÉRICO VESPUCIO 2071, INDEPENDENCIA, SANTIAGO, CHILE",2026-12-23,ORD-CL-202612-003060,200846,2026-12-26,Av. AMÉRICO VESPUCIO 2071,Av. Américo Vespucio,2071,"Av. Américo Vespucio 2071, Santiago, Chile",True,"Avenida Américo Vespucio 2071, 832 0000 Santiago, Chile",-33.47486357432432,-70.57795962027026,ok,buena
7,Av. Américo Vespucio 2071,AV. AMÉRICO VESPUCIO 2071,5216582 - 9,Cliente Nuevo 5216582,"AV. AMÉRICO VESPUCIO 2071, INDEPENDENCIA, SANTIAGO, CHILE",2026-12-26,ORD-CL-202612-003528,129798,2026-12-28,Av. AMÉRICO VESPUCIO 2071,Av. Américo Vespucio,2071,"Av. Américo Vespucio 2071, Santiago, Chile",True,"Avenida Américo Vespucio 2071, 832 0000 Santiago, Chile",-33.47486357432432,-70.57795962027026,ok,buena
8,Av. Américo Vespucio 2389,AV. AMÉRICO VESPUCIO 2389,6.283.572 - 5,Cliente 6283572,"Av. Américo Vespucio 2389, Independencia, Santiago",2026-12-09,ORD-CL-202612-001037,84519,2026-12-10,Av. Américo Vespucio 2389,Av. Américo Vespucio,2389,"Av. Américo Vespucio 2389, Santiago, Chile",True,"Avenida Américo Vespucio 2389, 832 0000 Santiago, Chile",-33.476078076363635,-70.57821195272727,ok,buena
9,Av. Américo Vespucio 2795,AV. AMÉRICO VESPUCIO 2795,8.336.079-1,Cliente 8336079,Av. Américo Vespucio 2795 Macul Stgo Chile,2026-12-30,ORD-CL-202612-003892,285642,2027-01-01,Av. Américo Vespucio 2795,Av. Américo Vespucio,2795,"Av. Américo Vespucio 2795, Santiago, Chile",True,"Avenida Américo Vespucio 2795, 832 0000 Santiago, Chile",-33.5247055,-70.6007136,ok,buena
10,Av. Américo Vespucio 3402,AV. AMÉRICO VESPUCIO 3402,21.783.616-1,Cliente 21783616,"Av. Américo Vespucio 3402, Providencia, Santiago, Chile",2026-12-07,ORD-CL-202612-000823,55684,2026-12-08,Av. Américo Vespucio 3402,Av. Américo Vespucio,3402,"Av. Américo Vespucio 3402, Santiago, Chile",True,"Avenida Américo Vespucio 3402, 832 0000 Santiago, Chile",-33.5242701,-70.6002307,ok,buena
10,Av. Américo Vespucio 3402,AV. AMÉRICO VESPUCIO 3402,21.783.616 - 1,Cliente 21783616,AV. AMÉRICO VESPUCIO 3402 PROVIDENCIA SANTIAGO CHILE,2026-12-10,ORD-CL-202612-001205,165217,2026-12-14,Av. AMÉRICO VESPUCIO 3402,Av. Américo Vespucio,3402,"Av. Américo Vespucio 3402, Santiago, Chile",True,"Avenida Américo Vespucio 3402, 832 0000 Santiago, Chile",-33.5242701,-70.6002307,ok,buena
10,Av. Américo Vespucio 3402,AV. AMÉRICO VESPUCIO 3402,21.783.616-1,Cliente 21783616,Av. Américo Vespucio 3402 Providencia Santiago Chile,2026-12-11,ORD-CL-202612-001390,91351,2026-12-13,Av. Américo Vespucio 3402,Av. Américo Vespucio,3402,"Av. Américo Vespucio 3402, Santiago, Chile",True,"Avenida Américo Vespucio 3402, 832 0000 Santiago, Chile",-33.5242701,-70.6002307,ok,buena
11,Av. Américo Vespucio 3407,AV. AMÉRICO VESPUCIO 3407,19.442.394-3,Cliente 19442394,"Av. Américo Vespucio 3407, Recoleta, Santiago de Chile",2026-12-10,ORD-CL-202612-001210,154862,2026-12-11,Av. Américo Vespucio 3407 Recoleta Santiago de,Av. Américo Vespucio,3407,"Av. Américo Vespucio 3407, Santiago, Chile",True,"Avenida Américo Vespucio 3407, 832 0000 Santiago, Chile",-33.5242694,-70.6002297,ok,buena
11,Av. Américo Vespucio 3407,AV. AMÉRICO VESPUCIO 3407,19442394-3,Cliente 19442394,Av. Américo Vespucio 3407 Recoleta Santiago,2026-12-27,ORD-CL-202612-003596,85842,2026-12-29,Av. Américo Vespucio 3407,Av. Américo Vespucio,3407,"Av. Américo Vespucio 3407, Santiago, Chile",True,"Avenida Américo Vespucio 3407, 832 0000 Santiago, Chile",-33.5242694,-70.6002297,ok,buena
12,Av. Américo Vespucio 3680,AV. AMÉRICO VESPUCIO 3680,5321451 - 8,Cliente Nuevo 5321451,Av. Américo Vespucio 3680 Depto 679 Macul Santiago de Chile,2026-12-23,ORD-CL-202612-003048,108873,2026-12-26,Av. Américo Vespucio 3680 Macul Santiago de,Av. Américo Vespucio,3680,"Av. Américo Vespucio 3680, Santiago, Chile",True,"Avenida Américo Vespucio 3680, 832 0000 Santiago, Chile",-33.5242312,-70.6001727,ok,buena
13,Av. Américo Vespucio 3713,AV. AMÉRICO VESPUCIO 3713,10.801.853 - 9,Cliente Nuevo 10801853,Av. Américo Vespucio 3713 La Florida Stgo Chile,2026-12-23,ORD-CL-202612-002973,147857,2026-12-27,Av. Américo Vespucio 3713,Av. Américo Vespucio,3713,"Av. Américo Vespucio 3713, Santiago, Chile",True,"Avenida Américo Vespucio 3713, 832 0000 Santiago, Chile",-33.49434567826087,-70.74626123913043,ok,buena
14,Av. Américo Vespucio 382,AV. AMÉRICO VESPUCIO 382,9.054.161 - 7,Cliente Nuevo 9054161,"Av. Américo Vespucio 382, Maipú, Santiago",2026-12-23,ORD-CL-202612-003023,212709,2026-12-25,Av. Américo Vespucio 382,Av. Américo Vespucio,382,"Av. Américo Vespucio 382, Santiago, Chile",True,"Avenida Américo Vespucio 382, 832 0000 Santiago, Chile",-33.53620667746478,-70.669017671831,ok,buena
14,Av. Américo Vespucio 382,AV. AMÉRICO VESPUCIO 382,9.054.161-7,Cliente Nuevo 9054161,"Av. Américo Vespucio 382, Maipú, Santiago de Chile",2026-12-24,ORD-CL-202612-003159,197492,2026-12-26,Av. Américo Vespucio 382 Maipú Santiago de,Av. Américo Vespucio,382,"Av. Américo Vespucio 382, Santiago, Chile",True,"Avenida Américo Vespucio 382, 832 0000 Santiago, Chile",-33.53620667746478,-70.669017671831,ok,buena
15,Av. Américo Vespucio 419,AV. AMÉRICO VESPUCIO 419,9.995.613-2,Cliente Nuevo 9995613,Av. Américo Vespucio 419 Depto 643 Independencia Santiago de Chile,2026-12-31,ORD-CL-202612-004169,141214,2027-01-03,Av. Américo Vespucio 419 Independencia Santiago de,Av. Américo Vespucio,419,"Av. Américo Vespucio 419, Santiago, Chile",True,"Avenida Américo Vespucio 419, 797 0000 Santiago, Chile",-33.53536625517241,-70.66966756551724,ok,buena
16,Av. Américo Vespucio 4227,AV. AMÉRICO VESPUCIO 4227,21568398 - 5,Cliente Nuevo 21568398,Av. Américo Vespucio 4227 Estación Central Santiago,2026-12-30,ORD-CL-202612-003966,117252,2027-01-02,Av. Américo Vespucio 4227,Av. Américo Vespucio,4227,"Av. Américo Vespucio 4227, Santiago, Chile",True,"Avenida Américo Vespucio 4227, 832 0000 Santiago, Chile",-33.4947808,-70.5841217,ok,buena
17,Av. Américo Vespucio 4295,AV. AMÉRICO VESPUCIO 4295,7.135.296-7,Cliente Nuevo 7135296,"av. américo vespucio 4295, depto 1988, la reina, santiago, chile",2026-12-29,ORD-CL-202612-003822,156193,2026-12-31,Av. américo vespucio 4295,Av. Américo Vespucio,4295,"Av. Américo Vespucio 4295, Santiago, Chile",True,"Avenida Américo Vespucio 4295, 832 0000 Santiago, Chile",-33.4960506,-70.5847781,ok,buena
17,Av. Américo Vespucio 4295,AV. AMÉRICO VESPUCIO 4295,7135296-7,Cliente Nuevo 7135296,"Av. Américo Vespucio 4295, Depto 1988, La Reina, Santiago, Chile",2026-12-31,ORD-CL-202612-004062,182139,2027-01-02,Av. Américo Vespucio 4295,Av. Américo Vespucio,4295,"Av. Américo Vespucio 4295, Santiago, Chile",True,"Avenida Américo Vespucio 4295, 832 0000 Santiago, Chile",-33.4960506,-70.5847781,ok,buena
18,Av. Américo Vespucio 439,AV. AMÉRICO VESPUCIO 439,21.367.222-9,Cliente 21367222,"Av. Américo Vespucio 439, Recoleta, Santiago, Chile",2026-12-09,ORD-CL-202612-001069,152653,2026-12-12,Av. Américo Vespucio 439,Av. Américo Vespucio,439,"Av. Américo Vespucio 439, Santiago, Chile",True,"Avenida Américo Vespucio 439, 797 0000 Santiago, Chile",-33.5353516,-70.6697136,ok,buena
19,Av. Américo Vespucio 4422,AV. AMÉRICO VESPUCIO 4422,19.599.888-5,Cliente 19599888,"av. américo vespucio 4422, providencia, santiago, chile",2026-12-31,ORD-CL-202612-004146,210388,2027-01-02,Av. américo vespucio 4422,Av. Américo Vespucio,4422,"Av. Américo Vespucio 4422, Santiago, Chile",True,"Avenida Américo Vespucio 4422, 832 0000 Santiago, Chile",-33.5041148,-70.5889009,ok,buena
20,Av. Américo Vespucio 4681,AV. AMÉRICO VESPUCIO 4681,13.429.053-2,Cliente Nuevo 13429053,Av. Américo Vespucio 4681 La Reina Santiago Chile,2026-12-08,ORD-CL-202612-001002,98662,2026-12-10,Av. Américo Vespucio 4681,Av. Américo Vespucio,4681,"Av. Américo Vespucio 4681, Santiago, Chile",True,"Avenida Américo Vespucio 4681, 832 0000 Santiago, Chile",-33.497688,-70.5859894,ok,buena
21,Av. Américo Vespucio 4961,AV. AMÉRICO VESPUCIO 4961,20453110-8,Cliente 20453110,"Av. Américo Vespucio 4961, Depto 1794, La Florida, Santiago de Chile",2026-12-01,ORD-CL-202612-000124,173886,2026-12-04,Av. Américo Vespucio 4961 La Florida Santiago de,Av. Américo Vespucio,4961,"Av. Américo Vespucio 4961, Santiago, Chile",True,"Avenida Américo Vespucio 4961, 832 0000 Santiago, Chile",-33.512983,-70.5938519,ok,buena
21,Av. Américo Vespucio 4961,AV. AMÉRICO VESPUCIO 4961,20.453.110-8,Cliente 20453110,"av. américo vespucio 4961, depto 1794, la florida, santiago, chile",2026-12-09,ORD-CL-202612-001049,283157,2026-12-13,Av. américo vespucio 4961,Av. Américo Vespucio,4961,"Av. Américo Vespucio 4961, Santiago, Chile",True,"Avenida Américo Vespucio 4961, 832 0000 Santiago, Chile",-33.512983,-70.5938519,ok,buena
21,Av. Américo Vespucio 4961,AV. AMÉRICO VESPUCIO 4961,20.453.110-8,Cliente 20453110,"Av. Américo Vespucio 4961, Depto 1794, La Florida, Santiago",2026-12-19,ORD-CL-202612-002574,83506,2026-12-23,Av. Américo Vespucio 4961,Av. Américo Vespucio,4961,"Av. Américo Vespucio 4961, Santiago, Chile",True,"Avenida Américo Vespucio 4961, 832 0000 Santiago, Chile",-33.512983,-70.5938519,ok,buena
21,Av. Américo Vespucio 4961,AV. AMÉRICO VESPUCIO 4961,20453110 - 8,Cliente 20453110,AV. AMÉRICO VESPUCIO 4961 DEPTO 1794 LA FLORIDA SANTIAGO CHILE,2026-12-26,ORD-CL-202612-003490,104057,2026-12-28,Av. AMÉRICO VESPUCIO 4961,Av. Américo Vespucio,4961,"Av. Américo Vespucio 4961, Santiago, Chile",True,"Avenida Américo Vespucio 4961, 832 0000 Santiago, Chile",-33.512983,-70.5938519,ok,buena
22,Av. Américo Vespucio 506,AV. AMÉRICO VESPUCIO 506,10.767.619-3,Cliente 10767619,Av. Américo Vespucio 506 Depto 1002 San Miguel Santiago Chile,2026-12-20,ORD-CL-202612-002633,209808,2026-12-23,Av. Américo Vespucio 506,Av. Américo Vespucio,506,"Av. Américo Vespucio 506, Santiago, Chile",True,"Avenida Américo Vespucio 506, 832 0000 Santiago, Chile",-33.5352436371134,-70.67211348041238,ok,buena
23,Av. Américo Vespucio 5133,AV. AMÉRICO VESPUCIO 5133,20.045.199-7,Cliente Nuevo 20045199,av. américo vespucio 5133 santiago santiago chile,2026-12-13,ORD-CL-202612-001592,142185,2026-12-18,Av. américo vespucio 5133,Av. Américo Vespucio,5133,"Av. Américo Vespucio 5133, Santiago, Chile",True,"Avenida Américo Vespucio 5133, 832 0000 Santiago, Chile",-33.5006538,-70.5876718,ok,buena
24,Av. Américo Vespucio 5192,AV. AMÉRICO VESPUCIO 5192,14092820 - 9,Cliente Nuevo 14092820,Av. Américo Vespucio 5192 Vitacura Santiago Chile,2026-12-03,ORD-CL-202612-000312,65619,2026-12-05,Av. Américo Vespucio 5192,Av. Américo Vespucio,5192,"Av. Américo Vespucio 5192, Santiago, Chile",True,"Avenida Américo Vespucio 5192, 832 0000 Santiago, Chile",-33.5010597,-70.5878376,ok,buena
24,Av. Américo Vespucio 5192,AV. AMÉRICO VESPUCIO 5192,14092820 - 9,Cliente Nuevo 14092820,Av. Américo Vespucio 5192 Vitacura Santiago Chile,2026-12-08,ORD-CL-202612-000904,177274,2026-12-11,Av. Américo Vespucio 5192,Av. Américo Vespucio,5192,"Av. Américo Vespucio 5192, Santiago, Chile",True,"Avenida Américo Vespucio 5192, 832 0000 Santiago, Chile",-33.5010597,-70.5878376,ok,buena
24,Av. Américo Vespucio 5192,AV. AMÉRICO VESPUCIO 5192,14.092.820-9,Cliente Nuevo 14092820,Av. Américo Vespucio 5192 Vitacura Santiago Chile,2026-12-23,ORD-CL-202612-003001,183761,2026-12-26,Av. Américo Vespucio 5192,Av. Américo Vespucio,5192,"Av. Américo Vespucio 5192, Santiago, Chile",True,"Avenida Américo Vespucio 5192, 832 0000 Santiago, Chile",-33.5010597,-70.5878376,ok,buena
25,Av. Américo Vespucio 5981,AV. AMÉRICO VESPUCIO 5981,11.809.661-3,Cliente Nuevo 11809661,"Av. Américo Vespucio 5981, Depto 1142, Santiago, Santiago, Chile",2026-12-23,ORD-CL-202612-002986,94152,2026-12-25,Av. Américo Vespucio 5981,Av. Américo Vespucio,5981,"Av. Américo Vespucio 5981, Santiago, Chile",True,"Avenida Américo Vespucio 5981, 832 0000 Santiago, Chile",-33.5079144,-70.5894649,ok,buena
26,Av. Américo Vespucio 609,AV. AMÉRICO VESPUCIO 609,6.765.812 - 7,Cliente 6765812,"Av. Américo Vespucio 609, Dpto 125, Providencia, Santiago, Chile",2026-12-19,ORD-CL-202612-002393,161434,2026-12-21,Av. Américo Vespucio 609,Av. Américo Vespucio,609,"Av. Américo Vespucio 609, Santiago, Chile",True,"Avenida Américo Vespucio 609, 797 0000 Santiago, Chile",-33.534652334408605,-70.67221010860216,ok,buena
26,Av. Américo Vespucio 609,AV. AMÉRICO VESPUCIO 609,6.765.812-7,Cliente 6765812,"Av. Américo Vespucio 609, Depto 125, Providencia, Santiago, Chile",2026-12-23,ORD-CL-202612-002999,100340,2026-12-25,Av. Américo Vespucio 609,Av. Américo Vespucio,609,"Av. Américo Vespucio 609, Santiago, Chile",True,"Avenida Américo Vespucio 609, 797 0000 Santiago, Chile",-33.534652334408605,-70.67221010860216,ok,buena
27,Av. Américo Vespucio 6368,AV. AMÉRICO VESPUCIO 6368,11338808-7,Cliente Nuevo 11338808,Av. Américo Vespucio 6368 Ñuñoa Santiago Chile,2026-12-14,ORD-CL-202612-001794,214144,2026-12-17,Av. Américo Vespucio 6368,Av. Américo Vespucio,6368,"Av. Américo Vespucio 6368, Santiago, Chile",True,"Avenida Américo Vespucio 6368, 832 0000 Santiago, Chile",-33.5100601,-70.5906087,ok,buena
27,Av. Américo Vespucio 6368,AV. AMÉRICO VESPUCIO 6368,11338808 - 7,Cliente Nuevo 11338808,"Av. Américo Vespucio 6368, Ñuñoa, Stgo, Chile",2026-12-23,ORD-CL-202612-002969,196514,2026-12-26,Av. Américo Vespucio 6368,Av. Américo Vespucio,6368,"Av. Américo Vespucio 6368, Santiago, Chile",True,"Avenida Américo Vespucio 6368, 832 0000 Santiago, Chile",-33.5100601,-70.5906087,ok,buena
28,Av. Américo Vespucio 6473,AV. AMÉRICO VESPUCIO 6473,16.548.853 - 1,Cliente 16548853,av. américo vespucio 6473 depto 2159 santiago santiago chile,2026-12-01,ORD-CL-202612-000070,184828,2026-12-05,Av. américo vespucio 6473,Av. Américo Vespucio,6473,"Av. Américo Vespucio 6473, Santiago, Chile",True,"Avenida Américo Vespucio 6473, 832 0000 Santiago, Chile",-33.5129982,-70.5904433,ok,buena
28,Av. Américo Vespucio 6473,AV. AMÉRICO VESPUCIO 6473,16.548.853 - 1,Cliente 16548853,AV. AMÉRICO VESPUCIO 6473 DEPTO 2159 SANTIAGO SANTIAGO CHILE,2026-12-21,ORD-CL-202612-002774,226763,2026-12-23,Av. AMÉRICO VESPUCIO 6473,Av. Américo Vespucio,6473,"Av. Américo Vespucio 6473, Santiago, Chile",True,"Avenida Américo Vespucio 6473, 832 0000 Santiago, Chile",-33.5129982,-70.5904433,ok,buena
29,Av. Américo Vespucio 6680,AV. AMÉRICO VESPUCIO 6680,17.061.453-7,Cliente 17061453,"Av. Américo Vespucio 6680, Depto 2290, Vitacura, Santiago de Chile",2026-12-23,ORD-CL-202612-003099,176899,2026-12-26,Av. Américo Vespucio 6680 Vitacura Santiago de,Av. Américo Vespucio,6680,"Av. Américo Vespucio 6680, Santiago, Chile",True,"Avenida Américo Vespucio 6680, 832 0000 Santiago, Chile",-33.51594226666667,-70.5927411962963,ok,buena
30,Av. Américo Vespucio 7052,AV. AMÉRICO VESPUCIO 7052,15.420.449-6,Cliente Nuevo 15420449,Av. Américo Vespucio 7052 Quinta Normal Santiago Chile,2026-12-13,ORD-CL-202612-001576,202559,2026-12-16,Av. Américo Vespucio 7052,Av. Américo Vespucio,7052,"Av. Américo Vespucio 7052, Santiago, Chile",True,"Avenida Américo Vespucio 7052, 832 0000 Santiago, Chile",-33.518222,-70.5946949,ok,buena
31,Av. Américo Vespucio 7059,AV. AMÉRICO VESPUCIO 7059,17252448 - 5,Cliente Nuevo 17252448,"Av. Américo Vespucio 7059, Depto 1409, Ñuñoa, Santiago, Chile",2026-12-06,ORD-CL-202612-000772,171152,2026-12-08,Av. Américo Vespucio 7059,Av. Américo Vespucio,7059,"Av. Américo Vespucio 7059, Santiago, Chile",True,"Avenida Américo Vespucio 7059, 832 0000 Santiago, Chile",-33.518261,-70.594721,ok,buena
32,Av. Américo Vespucio 7437,AV. AMÉRICO VESPUCIO 7437,20.311.411-5,Cliente 20311411,"Av. Américo Vespucio 7437, Depto 774, Macul, Santiago de Chile",2026-12-30,ORD-CL-202612-003919,180171,2027-01-02,Av. Américo Vespucio 7437 Macul Santiago de,Av. Américo Vespucio,7437,"Av. Américo Vespucio 7437, Santiago, Chile",True,"Avenida Américo Vespucio 7437, 832 0000 Santiago, Chile",-33.5226763,-70.5980529,ok,buena
33,Av. Américo Vespucio 7510,AV. AMÉRICO VESPUCIO 7510,11565193-6,Cliente Nuevo 11565193,"av. américo vespucio 7510, depto 1079, las condes, santiago, chile",2026-12-27,ORD-CL-202612-003673,142410,2026-12-30,Av. américo vespucio 7510,Av. Américo Vespucio,7510,"Av. Américo Vespucio 7510, Santiago, Chile",True,"Avenida Américo Vespucio 7510, 832 0000 Santiago, Chile",-33.52372820625,-70.59914443125001,ok,buena
34,Av. Américo Vespucio 7807,AV. AMÉRICO VESPUCIO 7807,21.043.135-1,Cliente Nuevo 21043135,av. américo vespucio 7807 lo prado santiago chile,2026-12-11,ORD-CL-202612-001369,245279,2026-12-13,Av. américo vespucio 7807,Av. Américo Vespucio,7807,"Av. Américo Vespucio 7807, Santiago, Chile",True,"Avenida Américo Vespucio 7807, 832 0000 Santiago, Chile",-33.5264621,-70.6027895,ok,buena
34,Av. Américo Vespucio 7807,AV. AMÉRICO VESPUCIO 7807,21043135 - 1,Cliente Nuevo 21043135,Av. Américo Vespucio 7807 Lo Prado Santiago Chile,2026-12-19,ORD-CL-202612-002402,93657,2026-12-22,Av. Américo Vespucio 7807,Av. Américo Vespucio,7807,"Av. Américo Vespucio 7807, Santiago, Chile",True,"Avenida Américo Vespucio 7807, 832 0000 Santiago, Chile",-33.5264621,-70.6027895,ok,buena
