Número de Orden,RUT,Nombre cliente,Dirección cliente,Fecha de Pedido,Fecha de despacho Solicitada,Monto Pedido,direccion_normalizada,formatted,node_id,lat_final,lon_final,volumen_total_pedido_m3,peso_total_pedido_kg,n_lineas_detalle,estado,calidad_match,tipo,tiene_coords_finales,tiene_node_id,tiene_detalle,node_id_deposito,lat_deposito,lon_deposito,direccion_deposito
ORD-CL-202612-000011,18.195.149 - 6,Cliente 18195149,Av. Pajaritos 5435 Dpto 972 Ñuñoa Santiago Chile,2026-12-01,2026-12-03,140619,Av. Pajaritos 5435,"Avenida Los Pajaritos 5435, 832 0000 Santiago, Chile",780,-33.473179228571425,-70.7378717755102,4.252727,550.225,19,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000012,11.565.215-0,Cliente Nuevo 11565215,Av. Grecia 5499 Providencia Santiago Chile,2026-12-01,2026-12-04,69556,Av. Grecia 5499,"Avenida Grecia 5499, 832 0000 Santiago, Chile",172,-33.46821033574976,-70.57937655427114,0.223935,41.049,5,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000013,9933788 - 8,Cliente 9933788,"AV. MANUEL MONTT 401, VITACURA, SANTIAGO, CHILE",2026-12-01,2026-12-03,131893,Av. Manuel Montt 401,"Avenida Manuel Montt 401, 750 0000 Providencia, Chile",596,-33.432091364,-70.618345204,0.262568,34.506,7,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000014,10.794.720-1,Cliente Nuevo 10794720,CALLE SAN ANTONIO 9747 DEPTO 2294 PUENTE ALTO SANTIAGO CHILE,2026-12-01,2026-12-04,79764,Calle San Antonio 9747,"San Antonio 9747, 832 0000 Santiago, Chile",2013,-33.43487534738776,-70.64887247008978,0.393231,73.385,16,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000015,9.347.581-0,Cliente Nuevo 9347581,Calle Morandé 6751 Estación Central Santiago Chile,2026-12-01,2026-12-03,229269,Calle Morandé 6751,"Morandé 6751, 832 0000 Santiago, Chile",1939,-33.43452185756808,-70.65443829443069,0.26640600000000003,74.433,7,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000016,18.460.722-8,Cliente Nuevo 18460722,Av. Apoquindo 2937 Peñalolén Stgo Chile,2026-12-01,2026-12-06,267477,Av. Apoquindo 2937,"Avenida Apoquindo 2937, 832 0000 Santiago, Chile",62,-33.4157335,-70.5911617,0.247166,41.795,8,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000017,14.945.612-5,Cliente Nuevo 14945612,Av. Matta 4672 Depto 431 Las Condes Santiago Chile,2026-12-01,2026-12-03,84124,Av. Matta 4672,"Avenida Manuel Antonio Matta 4672, 832 0000 Santiago, Chile",712,-33.45799120274538,-70.64211682398948,0.022742,6.409000000000001,3,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000018,18.484.174-2,Cliente Nuevo 18484174,Calle Santo Domingo 6604 La Florida Santiago Chile,2026-12-01,2026-12-04,90367,Calle Santo Domingo 6604,"Santo Domingo 6604, 835 0302 Quinta Normal, Chile",2106,-33.438971360737774,-70.68787532598256,0.42513999999999996,69.952,8,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000019,15682091-5,Cliente 15682091,"Av. Tobalaba 3402, Macul, Santiago de Chile",2026-12-01,2026-12-03,180085,Av. Tobalaba 3402,"Avenida Tobalaba 3402, 779 0097 Santiago, Chile",1034,-33.4315625,-70.5848894,2.163363,238.139,18,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000020,10.263.868 - 8,Cliente 10263868,"Av. Manuel Montt 3031, DEPTO 1744, Maipú, Stgo, Chile",2026-12-01,2026-12-03,226689,Av. Manuel Montt 3031,"Avenida Manuel Montt 3031, 832 0000 Santiago, Chile",594,-33.450409379191655,-70.61310094459272,3.905493,441.534,15,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000021,21.785.699-3,Cliente 21785699,Av. Apoquindo 4280 Depto 1705 Independencia Santiago Chile,2026-12-01,2026-12-03,183858,Av. Apoquindo 4280,"Avenida Apoquindo 4280, 832 0000 Santiago, Chile",69,-33.4146429,-70.5862581,0.48283199999999993,56.571,7,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000022,16.946.891-7,Cliente 16946891,"AV. PAJARITOS 7516, MAIPÚ, SANTIAGO, CHILE",2026-12-01,2026-12-03,124770,Av. Pajaritos 7516,"Avenida Los Pajaritos 7516, 832 0000 Santiago, Chile",795,-33.488076083068606,-70.75138480605311,0.929949,130.326,11,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000023,15.460.916-7,Cliente 15460916,"Calle Bandera 7800, Puente Alto, Santiago, Chile",2026-12-01,2026-12-04,92650,Calle Bandera 7800,"Bandera 7800, 832 0000 Santiago, Chile",1572,-33.44046393300847,-70.65220603930719,0.599434,76.389,6,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000024,5335185-2,Cliente Nuevo 5335185,Av. Apoquindo 5706 DEPTO 1049 La Florida Stgo Chile,2026-12-01,2026-12-03,58647,Av. Apoquindo 5706,"Avenida Apoquindo 5706, 832 0000 Santiago, Chile",75,-33.4096712,-70.5703756,0.16881,34.907,12,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000025,22476617-7,Cliente Nuevo 22476617,Calle Teatinos 6266 Providencia Santiago Chile,2026-12-01,2026-12-03,255160,Calle Teatinos 6266,"Teatinos 6266, 832 0000 Santiago, Chile",2166,-33.436656955578805,-70.65568127045138,1.3436409999999999,132.448,7,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000026,17.573.126-3,Cliente 17573126,Calle San Antonio 1509 Dpto 376 Providencia Santiago Chile,2026-12-01,2026-12-03,174809,Calle San Antonio 1509,"San Antonio 1509, 903 1169 Pudahuel, Chile",1960,-33.4302699,-70.7676359,1.731742,205.491,19,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000027,7499276 - 7,Cliente 7499276,Calle Compañía de Jesús 5241 Depto 565 Providencia Santiago Chile,2026-12-01,2026-12-03,137864,Calle Compañía de Jesús 5241,"Compañía de Jesús 5241, 832 0000 Santiago, Chile",1661,-33.439644149230105,-70.66251983715254,1.718718,278.701,17,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000028,12.883.674 - 1,Cliente Nuevo 12883674,"Av. Irarrázaval 9906, Independencia, Santiago, Chile",2026-12-01,2026-12-05,118119,Av. Irarrázaval 9906,"Avenida Irarrázaval 9906, 832 0000 Santiago, Chile",312,-33.45211752135792,-70.62996532946244,0.737742,149.152,13,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000029,22.149.970-6,Cliente Nuevo 22149970,"Calle Compañía de Jesús 7303, Dpto 1506, Independencia, Santiago, Chile",2026-12-01,2026-12-04,161307,Calle Compañía de Jesús 7303,"Compañía de Jesús 7303, 832 0000 Santiago, Chile",1670,-33.439644149230105,-70.66251983715254,1.487933,171.365,9,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000030,20757511 - 0,Cliente 20757511,"Av. Vicuña Mackenna 154, Depto 884, Recoleta, Santiago",2026-12-01,2026-12-04,229074,Av. Vicuña Mackenna 154,"Avenida Vicuña Mackenna 154, 651 3491 Providencia, Chile",1081,-33.44289517142857,-70.63342082571428,0.41881999999999997,58.504,7,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000031,14.317.726 - 4,Cliente 14317726,"AV. LA FLORIDA 1002, DEPTO 2171, PEÑALOLÉN, SANTIAGO, CHILE",2026-12-01,2026-12-03,170357,Av. La Florida 1002,"Avenida La Florida 1002, 832 0000 Santiago, Chile",380,-33.519235429031845,-70.58115079491817,2.785992,391.82,17,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000032,8395310-4,Cliente Nuevo 8395310,"Gran Avenida José Miguel Carrera 1084, La Florida, Santiago de Chile",2026-12-01,2026-12-03,124759,Gran Avenida José Miguel Carrera 1084,"Gran Avenida José Miguel Carrera 1084, 832 0000 Santiago, Chile",2205,-33.5575823,-70.6779859,2.21725,261.691,12,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000033,15.022.998-1,Cliente 15022998,av. providencia 1687 depto 2311 la reina santiago chile,2026-12-01,2026-12-02,99454,Av. Providencia 1687,"Avenida Providencia 1687, 750 0000 Providencia, Chile",859,-33.42649830229008,-70.61543438396947,0.283872,44.655,3,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000034,18.190.145 - 8,Cliente Nuevo 18190145,"Avenida Matta 7432, Depto 975, Peñalolén, Santiago, Chile",2026-12-01,2026-12-04,255441,Avenida Matta 7432,"Avenida Manuel Antonio Matta 7432, 832 0000 Santiago, Chile",1326,-33.45799120274538,-70.64211682398948,0.641751,74.702,7,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000035,18489688 - 3,Cliente 18489688,"AV. KENNEDY 5660, DEPTO 939, ESTACIÓN CENTRAL, SANTIAGO, CHILE",2026-12-01,2026-12-04,259234,Av. Kennedy 5660,"Avenida Presidente Kennedy 5660, 763 0000 Santiago, Chile",345,-33.399406,-70.5752294,0.0901,15.056000000000001,3,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000036,5.882.244-8,Cliente Nuevo 5882244,"Calle Merced 8895, Quinta Normal, Santiago de Chile",2026-12-01,2026-12-04,329568,Calle Merced 8895,"Merced 8895, 832 0000 Santiago, Chile",1847,-33.43731790255185,-70.64174538474282,2.221654,274.983,21,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000037,13.872.638-3,Cliente Nuevo 13872638,CALLE AMUNÁTEGUI 5971 DEPTO 2452 MACUL SANTIAGO CHILE,2026-12-01,2026-12-04,51456,Calle Amunátegui 5971,"Amunátegui 5971, 832 0000 Santiago, Chile",1447,-33.41625625370045,-70.66756956491413,1.918602,310.168,21,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000038,15.199.393-7,Cliente Nuevo 15199393,"Av. Irarrázaval 1804, Depto 2046, Maipú, Santiago",2026-12-01,2026-12-04,88071,Av. Irarrázaval 1804,"Avenida Irarrázaval 1804, 832 0000 Santiago, Chile",257,-33.4533598,-70.6124658,0.605934,82.968,8,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000039,6.495.658-2,Cliente 6495658,"av. tobalaba 9986, las condes, santiago, chile",2026-12-01,2026-12-03,54521,Av. Tobalaba 9986,"Avenida Tobalaba 9986, 832 0000 Santiago, Chile",1076,-33.4912094,-70.556329,3.0056909999999997,379.04900000000004,15,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000040,20473461-3,Cliente Nuevo 20473461,"Av. Libertador Bernardo O Higgins 1672, DEPTO 321, Peñalolén, Stgo, Chile",2026-12-01,2026-12-04,61345,Av. Libertador Bernardo O Higgins 1672,"Avenida Libertador Bernardo O'Higgins 1672, 832 0000 Santiago, Chile",491,-33.44641763589743,-70.6599249948718,1.2154639999999999,228.325,24,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000041,5.884.281-4,Cliente 5884281,"AV. GRECIA 8422, PEÑALOLÉN, SANTIAGO, CHILE",2026-12-01,2026-12-04,107532,Av. Grecia 8422,"Avenida Grecia 8422, 832 0000 Santiago, Chile",191,-33.47531328717949,-70.54481643205129,1.561493,215.049,19,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000042,7133217-9,Cliente Nuevo 7133217,"Av. Departamental 4795, Depto 905, Quinta Normal, Santiago de Chile",2026-12-01,2026-12-02,74718,Av. Departamental 4795,"Avenida Departamental 4795, 781 0000 Santiago, Chile",124,-33.5103234,-70.5845273,3.098963,400.86600000000004,16,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000043,10469153-4,Cliente 10469153,av. la florida 9689 depto 1511 quinta normal santiago chile,2026-12-01,2026-12-04,101590,Av. La Florida 9689,"Avenida La Florida 9689, 824 1971 La Florida, Chile",433,-33.5433136,-70.5702714,1.15726,166.556,15,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000044,14503617-7,Cliente 14503617,"av. tobalaba 5892, quinta normal, santiago, chile",2026-12-01,2026-12-03,94377,Av. Tobalaba 5892,"Avenida Tobalaba 5892, 832 0000 Santiago, Chile",1052,-33.5145717,-70.5596454,0.855742,127.681,16,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000045,7.498.317-5,Cliente Nuevo 7498317,Av. Apoquindo 7097 Depto 1384 Vitacura Santiago Chile,2026-12-01,2026-12-03,71728,Av. Apoquindo 7097,"Avenida Apoquindo 7097, 832 0000 Santiago, Chile",88,-33.4079671,-70.5555604,0.031416,10.192,4,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000046,7686773-4,Cliente Nuevo 7686773,AV. MANUEL MONTT 4785 DEPTO 1594 PROVIDENCIA SANTIAGO CHILE,2026-12-01,2026-12-04,58778,Av. Manuel Montt 4785,"Avenida Manuel Montt 4785, 832 0000 Santiago, Chile",603,-33.450409379191655,-70.61310094459272,1.1417739999999998,235.99099999999999,15,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000047,14.175.945 - 6,Cliente Nuevo 14175945,"AV. PAJARITOS 3788, DEPTO 2242, LA REINA, SANTIAGO, CHILE",2026-12-01,2026-12-04,180072,Av. Pajaritos 3788,"Avenida Los Pajaritos 3788, 832 0000 Santiago, Chile",772,-33.4915217,-70.7534013,0.029983,8.764,5,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000048,7062851 - 9,Cliente Nuevo 7062851,av. las condes 2824 independencia santiago chile,2026-12-01,2026-12-04,76722,Av. Las Condes 2824,"Avenida Las Condes 2824, 832 0000 Santiago, Chile",446,-33.38904613999576,-70.54005416426546,0.757876,110.76899999999999,12,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000049,11.110.125-3,Cliente Nuevo 11110125,"av. grecia 7712, depto 2069, recoleta, santiago, chile",2026-12-01,2026-12-03,112421,Av. Grecia 7712,"Avenida Grecia 7712, 832 0000 Santiago, Chile",187,-33.474217767999995,-70.55036291280001,3.858722,488.323,16,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000050,12.334.420-8,Cliente Nuevo 12334420,"Calle Teatinos 7022, Providencia, Santiago",2026-12-01,2026-12-05,163034,Calle Teatinos 7022,"Teatinos 7022, 832 0000 Santiago, Chile",2168,-33.436656955578805,-70.65568127045138,3.376867,357.9,18,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000051,16.445.432-1,Cliente Nuevo 16445432,"Av. Santa Rosa 8652, Peñalolén, Santiago, Chile",2026-12-01,2026-12-05,331791,Av. Santa Rosa 8652,"Avenida Santa Rosa 8652, 832 0000 Santiago, Chile",1008,-33.5400056,-70.6342698,0.6595449999999999,85.098,20,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000052,14.976.779 - 6,Cliente 14976779,Av. Irarrázaval 8302 Depto 244 Ñuñoa Santiago Chile,2026-12-01,2026-12-03,82669,Av. Irarrázaval 8302,"Avenida Irarrázaval 8302, 832 0000 Santiago, Chile",302,-33.45211752135792,-70.62996532946244,1.65258,231.903,22,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000053,17777808-6,Cliente 17777808,"av. libertador bernardo o higgins 5746, depto 1018, santiago, santiago, chile",2026-12-01,2026-12-04,152527,Av. Libertador Bernardo O Higgins 5746,"Avenida Libertador Bernardo O'Higgins 5746, 832 0000 Santiago, Chile",520,-33.448743251107814,-70.67154545028562,1.127713,136.555,11,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000054,21.577.718-1,Cliente Nuevo 21577718,"Gran Avenida José Miguel Carrera 1092, La Florida, Santiago, Chile",2026-12-01,2026-12-05,315308,Gran Avenida José Miguel Carrera 1092,"Gran Avenida José Miguel Carrera 1092, 832 0000 Santiago, Chile",2206,-33.5570575,-70.677793,0.341953,65.264,10,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000055,20.317.971-7,Cliente Nuevo 20317971,AV. MAPOCHO 6648 MACUL SANTIAGO CHILE,2026-12-01,2026-12-03,283566,Av. Mapocho 6648,"Avenida Mapocho 6648, 850 0000 Santiago, Chile",665,-33.432762,-70.686501,0.22448,56.143,13,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000056,17709152 - 5,Cliente Nuevo 17709152,"Calle Estado 5634, Depto 1612, Estación Central, Santiago, Chile",2026-12-01,2026-12-04,153719,Calle Estado 5634,"Estado 5634, 832 0000 Santiago, Chile",1724,-33.43949515564987,-70.64953513821996,0.587142,118.28999999999999,14,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000057,19.942.029-2,Cliente 19942029,"Calle Bandera 7833, Maipú, Stgo, Chile",2026-12-01,2026-12-04,193622,Calle Bandera 7833,"Bandera 7833, 832 0000 Santiago, Chile",1574,-33.44046393300847,-70.65220603930719,1.430081,196.188,10,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
