Número de Orden,Fecha de despacho Solicitada,Monto Pedido,direccion_normalizada,node_id,lat_final,lon_final,volumen_total_pedido_m3,peso_total_pedido_kg,node_id_deposito,lat_deposito,lon_deposito
ORD-CL-202612-000038,2026-12-04,88071,Av. Irarrázaval 1804,257,-33.4533598,-70.6124658,0.605934,82.968,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000039,2026-12-03,54521,Av. Tobalaba 9986,1076,-33.4912094,-70.556329,3.005691,379.049,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000040,2026-12-04,61345,Av. Libertador Bernardo O Higgins 1672,491,-33.44641763589743,-70.6599249948718,1.215464,228.325,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000041,2026-12-04,107532,Av. Grecia 8422,191,-33.47531328717949,-70.54481643205129,1.561493,215.049,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000042,2026-12-02,74718,Av. Departamental 4795,124,-33.5103234,-70.5845273,3.098963,400.866,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000043,2026-12-04,101590,Av. La Florida 9689,433,-33.5433136,-70.5702714,1.15726,166.556,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000044,2026-12-03,94377,Av. Tobalaba 5892,1052,-33.5145717,-70.5596454,0.855742,127.681,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000045,2026-12-03,71728,Av. Apoquindo 7097,88,-33.4079671,-70.5555604,0.031416,10.192,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000046,2026-12-04,58778,Av. Manuel Montt 4785,603,-33.450409379191655,-70.61310094459272,1.1417739999999998,235.991,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000047,2026-12-04,180072,Av. Pajaritos 3788,772,-33.4915217,-70.7534013,0.029983,8.764,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000048,2026-12-04,76722,Av. Las Condes 2824,446,-33.38904613999576,-70.54005416426546,0.757876,110.769,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000049,2026-12-03,112421,Av. Grecia 7712,187,-33.474217767999995,-70.55036291280001,3.858722,488.323,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000050,2026-12-05,163034,Calle Teatinos 7022,2168,-33.436656955578805,-70.65568127045138,3.376867,357.9,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000051,2026-12-05,331791,Av. Santa Rosa 8652,1008,-33.5400056,-70.6342698,0.6595449999999999,85.098,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000052,2026-12-03,82669,Av. Irarrázaval 8302,302,-33.45211752135792,-70.62996532946244,1.65258,231.903,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000053,2026-12-04,152527,Av. Libertador Bernardo O Higgins 5746,520,-33.448743251107814,-70.67154545028562,1.127713,136.555,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000054,2026-12-05,315308,Gran Avenida José Miguel Carrera 1092,2206,-33.5570575,-70.677793,0.341953,65.264,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000055,2026-12-03,283566,Av. Mapocho 6648,665,-33.432762,-70.686501,0.22448,56.143,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000056,2026-12-04,153719,Calle Estado 5634,1724,-33.43949515564987,-70.64953513821996,0.587142,118.29,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000057,2026-12-04,193622,Calle Bandera 7833,1574,-33.44046393300847,-70.65220603930719,1.430081,196.188,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000058,2026-12-04,192878,Av. Departamental 6137,134,-33.511167,-70.5699378,3.0327170000000003,395.574,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000059,2026-12-05,52565,Calle Compañía de Jesús 1673,1642,-33.439351599999995,-70.66045465,5.000096,647.76,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000060,2026-12-03,145322,Av. Macul 7795,569,-33.49707804581206,-70.59790889427815,0.577669,83.3,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000061,2026-12-03,91564,Av. Manuel Montt 5734,610,-33.450409379191655,-70.61310094459272,0.025684,10.598,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000062,2026-12-03,64250,Calle San Antonio 9379,2009,-33.43487534738776,-70.64887247008978,0.6345310000000001,101.555,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000063,2026-12-04,99852,Av. Mapocho 5244,659,-33.432762,-70.686501,0.478858,83.337,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000064,2026-12-02,132830,Calle Teatinos 1289,2137,-33.436656955578805,-70.65568127045138,0.944574,143.076,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000065,2026-12-04,81286,Av. Grecia 5637,173,-33.46821033574976,-70.57937655427114,2.801701,461.169,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000066,2026-12-03,206162,Calle Teatinos 5180,2160,-33.436656955578805,-70.65568127045138,1.260176,220.91,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000067,2026-12-04,126717,Av. Santa Rosa 1012,961,-33.4575059,-70.643308975,2.511639,324.725,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000068,2026-12-04,78589,Calle Teatinos 1540,2139,-33.436656955578805,-70.65568127045138,2.7088710000000003,314.366,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000069,2026-12-03,134426,Av. Pedro de Valdivia 8517,845,-33.446682,-70.605953,0.400368,79.17,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000070,2026-12-05,184828,Av. Américo Vespucio 6473,29,-33.5129982,-70.5904433,0.074644,22.641,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000071,2026-12-03,88539,Av. Pajaritos 3626,766,-33.4931941,-70.7560064,1.00603,197.406,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000072,2026-12-05,175782,Av. Vitacura 8184,1168,-33.38497581764706,-70.55494609411765,2.176776,290.306,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000073,2026-12-05,173787,Calle Arturo Prat 4790,1507,-33.452475519393765,-70.64863131734094,0.657142,73.828,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000074,2026-12-04,108644,Av. Departamental 4795,124,-33.5103234,-70.5845273,1.196098,164.675,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000075,2026-12-05,148912,Avenida Grecia 3963,1216,-33.4651442,-70.5902593,0.7163630000000001,103.453,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000076,2026-12-04,186428,Calle Merced 1295,1805,-33.43731790255185,-70.64174538474282,1.605694,223.055,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000077,2026-12-05,104512,Calle Compañía de Jesús 386,1656,-33.439644149230105,-70.66251983715254,0.684757,118.299,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000078,2026-12-05,305291,Calle Santo Domingo 1055,2076,-33.43618697111111,-70.65202458666666,0.301533,99.569,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000079,2026-12-03,48218,Av. Irarrázaval 6780,297,-33.45211752135792,-70.62996532946244,0.201767,37.804,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000080,2026-12-05,203429,Gran Avenida José Miguel Carrera 9844,2253,-33.5495715,-70.6713348,1.354136,235.359,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000081,2026-12-04,172749,Calle San Diego 2452,2028,-33.46971150355578,-70.64855318455172,0.679723,119.629,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000082,2026-12-03,168422,Av. Departamental 2287,112,-33.49774282013423,-70.67137071879195,0.481125,96.304,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000083,2026-12-04,150920,Av. La Florida 9689,433,-33.5433136,-70.5702714,0.104833,24.411,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000084,2026-12-04,148638,Avenida Santa Rosa 7174,1382,-33.526553832653065,-70.635556892517,0.486004,74.783,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000085,2026-12-03,299317,Calle Teatinos 975,2191,-33.432789157777776,-70.65576433999999,1.445278,206.31,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000086,2026-12-04,188471,Av. Matta 4411,709,-33.45799120274538,-70.64211682398948,1.775647,274.353,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000087,2026-12-03,325781,Av. Pajaritos 5796,783,-33.488076083068606,-70.75138480605311,0.237597,62.264,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000088,2026-12-03,77450,Calle Monjitas 7974,1891,-33.436639090107406,-70.64200400967839,0.940815,161.207,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000089,2026-12-03,200092,Calle San Diego 6019,2052,-33.46971150355578,-70.64855318455172,0.6539229999999999,144.74,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000090,2026-12-04,137219,Av. La Florida 7983,420,-33.5250518,-70.5777783,0.8919710000000001,119.266,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000091,2026-12-03,200870,Av. Independencia 4637,215,-33.38621719285714,-70.67873796428572,0.848647,167.541,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000092,2026-12-03,288295,Av. Providencia 4727,886,-33.435086638100124,-70.62889344723304,0.8928,131.547,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000093,2026-12-03,127911,Calle Catedral 2615,1593,-33.4394687125,-70.67269285,0.93725,124.317,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000094,2026-12-03,94985,Av. Irarrázaval 640,296,-33.45318911472868,-70.62371892713178,0.745546,121.338,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000095,2026-12-03,239928,Calle Morandé 3761,1924,-33.43452185756808,-70.65443829443069,0.076045,23.866,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000096,2026-12-03,212161,Calle Arturo Prat 4852,1508,-33.452475519393765,-70.64863131734094,1.135991,188.514,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000097,2026-12-04,239385,Calle Bandera 7702,1571,-33.44046393300847,-70.65220603930719,0.291538,45.213,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000098,2026-12-05,276504,Av. Apoquindo 3829,67,-33.4155624,-70.5905938,0.804171,137.64,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000099,2026-12-05,206032,Av. Macul 2508,546,-33.47767395176471,-70.59879762117647,1.403114,189.568,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000100,2026-12-02,311310,Av. Las Condes 1523,439,-33.393217,-70.544274,0.473768,66.528,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000101,2026-12-06,168542,Gran Avenida José Miguel Carrera 7987,2241,-33.52688736538462,-70.66173722692308,0.194866,38.302,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000102,2026-12-06,137624,Av. Manuel Montt 5607,609,-33.43961,-70.6155,0.426261,80.783,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000103,2026-12-03,244021,Calle Teatinos 7628,2177,-33.436656955578805,-70.65568127045138,0.20825,28.536,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000104,2026-12-05,72921,Calle San Diego 3767,2037,-33.46971150355578,-70.64855318455172,0.258279,28.998,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000105,2026-12-02,142258,Av. Las Condes 6424,470,-33.38904613999576,-70.54005416426546,0.342226,50.063,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000106,2026-12-05,189597,Calle Santo Domingo 7909,2117,-33.438971360737774,-70.68787532598256,2.928905,367.621,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000107,2026-12-03,126632,Calle Santo Domingo 9121,2126,-33.438971360737774,-70.68787532598256,2.219156,319.797,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000108,2026-12-03,180277,Avenida Kennedy 3695,1240,-33.4055216,-70.5917304,0.230482,31.394,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000109,2026-12-05,93564,Calle San Diego 9520,2073,-33.46971150355578,-70.64855318455172,0.193788,36.206,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000110,2026-12-04,151697,Av. Mapocho 2352,642,-33.4322458,-70.6700658,1.450023,202.656,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000111,2026-12-03,260585,Av. Las Condes 599,466,-33.38904613999576,-70.54005416426546,2.018805,255.632,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000112,2026-12-03,156946,Av. Macul 2508,546,-33.47767395176471,-70.59879762117647,1.40959,246.656,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000113,2026-12-02,158040,Calle Huérfanos 7037,1795,-33.43969907361054,-70.65168277752262,0.830639,111.969,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000114,2026-12-04,110928,Calle Estado 238,1697,-33.44019705510204,-70.64957812653061,1.304414,205.414,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000115,2026-12-03,267478,Calle San Antonio 6514,1991,-33.43487534738776,-70.64887247008978,0.371757,100.879,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000116,2026-12-03,113234,Av. Libertador Bernardo O Higgins 4192,510,-33.4545525,-70.6933263,0.408974,59.343,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000117,2026-12-02,42545,Av. La Florida 777,419,-33.519235429031845,-70.58115079491817,1.183075,129.178,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000118,2026-12-03,43659,Avenida La Florida 3026,1257,-33.5158876737604,-70.58408346247862,1.214056,215.678,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000119,2026-12-03,212531,Calle San Antonio 7911,1999,-33.43487534738776,-70.64887247008978,0.728827,123.924,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000120,2026-12-04,143418,Av. Departamental 2586,113,-33.49639758636363,-70.67380454545456,0.332504,65.663,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000121,2026-12-03,172717,Calle Bandera 3131,1549,-33.44046393300847,-70.65220603930719,1.152351,159.015,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000122,2026-12-03,156474,Av. Santa Rosa 5626,988,-33.470603450000006,-70.6422032,0.32269,73.911,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000123,2026-12-05,186998,Av. Macul 1756,541,-33.49707804581206,-70.59790889427815,0.167473,26.613,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000124,2026-12-04,173886,Av. Américo Vespucio 4961,22,-33.512983,-70.5938519,1.5082060000000002,201.606,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000125,2026-12-04,203160,Av. Mapocho 1404,637,-33.432762,-70.686501,0.649948,75.044,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000126,2026-12-03,158204,Av. Kennedy 6395,351,-33.3964731,-70.5674161,0.866797,120.397,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000127,2026-12-05,105275,Av. Independencia 8901,243,-33.430113,-70.653323,0.994723,159.264,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000128,2026-12-04,103775,Calle Bandera 9916,1587,-33.44046393300847,-70.65220603930719,0.835219,163.666,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000129,2026-12-04,118861,Av. Matta 5603,719,-33.45799120274538,-70.64211682398948,0.727684,148.96699999999998,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000130,2026-12-02,239305,Calle San Diego 1071,2017,-33.459257552083336,-70.64931600624999,0.959125,192.0,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000131,2026-12-04,144727,Av. Departamental 6863,137,-33.511587,-70.5622381,1.177147,169.68099999999998,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000132,2026-12-04,199076,Av. Santa Rosa 5046,980,-33.50361877575757,-70.63861415050505,3.394657,457.326,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000133,2026-12-03,46938,Calle Teatinos 4659,2158,-33.436656955578805,-70.65568127045138,0.379469,55.809,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000134,2026-12-04,98029,Calle Estado 7420,1738,-33.43949515564987,-70.64953513821996,1.450959,205.399,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000135,2026-12-03,219322,Av. Vicuña Mackenna 8405,1124,-33.53269003199999,-70.59448258,0.644218,128.115,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000136,2026-12-04,86698,Av. Mapocho 7888,674,-33.432762,-70.686501,1.931605,222.421,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000137,2026-12-04,134635,Av. Kennedy 5651,344,-33.3997632,-70.5757715,0.752142,93.849,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000138,2026-12-04,92973,Av. Grecia 943,194,-33.46049613448276,-70.6220507,3.117453,428.517,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000139,2026-12-03,112448,Av. Pajaritos 9174,805,-33.488076083068606,-70.75138480605311,0.6149249999999999,114.05,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000140,2026-12-03,208315,Av. Apoquindo 8832,99,-33.41052665057889,-70.57323806478458,0.074669,16.676000000000002,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000141,2026-12-03,255487,Calle San Antonio 2631,1968,-33.43487534738776,-70.64887247008978,0.084659,24.278,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000142,2026-12-04,216826,Av. Vitacura 682,1159,-33.4178672,-70.6052595,1.184773,201.451,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000143,2026-12-03,41473,Av. Matta 9543,742,-33.45799120274538,-70.64211682398948,0.074223,17.982,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000144,2026-12-03,113704,Avenida Vitacura 713,1408,-33.4178406,-70.6052487,0.195999,24.471,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000145,2026-12-04,178899,Av. Departamental 8533,148,-33.49342680302045,-70.67774623290455,2.045516,298.808,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000146,2026-12-04,142945,Calle Estado 9631,1750,-33.43949515564987,-70.64953513821996,0.902335,140.809,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000147,2026-12-05,129587,Calle Catedral 9906,1636,-33.438738201983064,-70.66443720992424,2.918481,422.364,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000148,2026-12-03,121313,Av. Irarrázaval 2033,258,-33.453654,-70.6098817,0.07506,20.717,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000149,2026-12-05,138025,Av. Las Condes 7366,476,-33.4031698,-70.5561641,3.293159,357.422,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000150,2026-12-03,242231,Calle Santo Domingo 6777,2108,-33.438971360737774,-70.68787532598256,1.086861,173.384,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000151,2026-12-02,229807,Calle Santo Domingo 5170,2100,-33.442098310000006,-70.70665943,0.685564,92.04,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000152,2026-12-04,89992,Calle Santo Domingo 8242,2119,-33.438971360737774,-70.68787532598256,1.614724,263.344,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000153,2026-12-05,107781,Calle San Diego 1862,2024,-33.47050244736842,-70.64829097368421,0.332069,72.256,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000154,2026-12-04,207166,Calle Huérfanos 3861,1772,-33.43969907361054,-70.65168277752262,2.4601040000000003,292.31,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000155,2026-12-03,72069,Calle Monjitas 4798,1871,-33.436639090107406,-70.64200400967839,0.400367,60.149,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000156,2026-12-04,96495,Calle Amunátegui 8910,1468,-33.41625625370045,-70.66756956491413,2.012563,243.283,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000157,2026-12-02,47974,Av. Vicuña Mackenna 154,1081,-33.44289517142857,-70.63342082571428,0.009038,5.232,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000158,2026-12-04,126038,Av. Libertador Bernardo O Higgins 2588,495,-33.4493354,-70.6727827,0.409073,68.55199999999999,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000159,2026-12-05,256738,Av. Pajaritos 6316,787,-33.488076083068606,-70.75138480605311,0.359909,77.22999999999999,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000160,2026-12-03,126552,Av. Providencia 178,860,-33.4830035967742,-70.7436999967742,0.2453679999999999,52.419,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000161,2026-12-04,227725,Av. Libertador Bernardo O Higgins 9819,536,-33.44378662227161,-70.65086273448715,0.4545019999999999,154.35,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000162,2026-12-05,112099,Av. Matta 5052,715,-33.45799120274538,-70.64211682398948,0.270497,40.098,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000163,2026-12-03,153079,Av. Pedro de Valdivia 8264,843,-33.446682,-70.605953,0.024849,9.34,0,-33.42748443128771,-70.68728138816309
